,keyword,type,text,literal,neu_diff,pos_diff,neg_diff,off_diff,n-off_diff
0,let go of,let go of,"Last year, Cisco let go of 15% of its workforce and last month it announced it will let go another 1,300. ",fired,-0.252981288,-0.380529053,0.991032007,0.391097762,-0.067169344
1,let go of,let go of,"Once business owners see that their losses have been reduced with government help then then no business would want to let go of their employees. "" ",fired,0.008375968,0.05563244,-0.026529569,0.225242594,-0.024590302
2,let go of,let go of,"Regardless of the reason why Steven was let go of, I'm happy that the Windows reigns are shifting to someone else who, I hope, will champion a mentality somewhere between the Allchin days and Sinofsky's knack for getting things done. ",fired,0.221091238,-0.093241622,0.781181525,0.665467096,-0.056113124
3,let go of,let go of,"3: Relentless passion for Windows (think ""Longhorn""): Ever since Jim Allchin was let go of, the intense enthusiast passion for Windows has all but died, and Microsoft needs to get it back. ",fired,-0.099034255,-0.245494414,0.258342461,0.212733172,-0.02399335
4,let go of,let go of,"At the end of the day, Steven Sinofsky is a human being and I don't like the thought of people being let go of; however, viewing this situation purely from my stance as a Windows enthusiast, I haven't been this happy or fired-up about the potential for Windows in a very long time. ",fired,0.056004944,0.025089849,-0.021407415,0.583062515,-0.074293856
5,let him go,let go of,The office manager told me today that they don't let him go because they hope my stepson will find another job soon and leave (he just finish a MBA) but asked me not to tell anyone. ,fired,-0.043356834,-0.039423789,0.275134025,0.145649554,-0.014049444
6,letting someone go,let go of,"The real differences are issues of scale, pace, and understanding (good financial metrics pertaining to the influence of HR on sustained bottom line profitability are fairly new). (Flexibility in the workforce has definitely also been a growing trend over the last 20 years or so and will likely become an increasingly hotly contested what's the cost of letting someone go if you can't get them back when you need them?) ) ",firing an employee,-0.022189565,-0.055946839,0.048318721,0.200679994,-0.014526479
7,let him go,let go of,"Also, get Wiggington, we should never really have let him go. ",fired,-0.240546986,-0.425874242,0.131593126,0.519075298,-0.072304692
8,let him go,let go of,I do it was his decision to let him go. ,fired,0.059469637,-0.063216282,-0.210679217,0.587592191,-0.075572195
9,let him go,let go of,Walter lasted a month until the advertising agency let him go due to Walt's'singular lack of drawing ability.? Walt and Roy had together $290. ,fired,-0.035015217,0.059445514,0.042860141,0.178751709,-0.032723513
10,let him go,let go of,"Our old SEO now works for them (We let him go), &; I know something is severely wrong. ",fired,-0.136815616,-0.183629006,0.052864363,0.192847101,-0.02171854
11,let him go,let go of,"Many players with large contracts are placed on waivers during August, and there's always a chance that if a team puts in a claim, the waiving team will let him go for nothing beyond the ability to clear his salary from the books. ",fired,-0.036762779,-0.183646499,0.132040006,-0.042614162,0.004918946
12,perished,perish,Those who did not make all the preparations perished when the waters came. ,died,-0.079217344,-0.114827332,0.048574438,-0.123407145,0.031058208
13,perished,perish,"On this 11th anniversary of 9/11, we remember the thousands who were slain, the brave souls who perished while rushing into harms way to save them, and those who have fallen in far away lands, in defense of our nation, in the 11 years since. ",died,0.020850434,0.074938539,-0.076293136,-0.072415977,0.010353839
14,perish,perish,"And Green OA self-archiving mandates apply to the research output of a university's salaried academics, whether or not their research receives external funding, just as the university's publish-or-perish mandate applies to publications irrespective of whether they (4) So the relevant variable is not funding but whether the research publication is an author give-away, written purely for the sake of research uptake, usage and impact-- the way all peer-reviewed articles are written-- or whether it is also written in the hope of royalty income (as many books are-- even though their hopes are usually not realized!)... ",to die,-0.010702943,-0.024530151,0.066723069,0.042907716,-0.002711062
15,perished,perish,"Most likely, other fishermen had perished in such a storm. ",died,0.024034862,0.047180034,-0.014772033,-0.045532564,0.016210816
16,perish,perish,"The rabbins say that they put a grain of frankincense into a cup of strong wine; and they ground this on Proverbs 31:6: Give strong drink unto him that is ready to perish, i.e. who is condemned to death. ",to die,-0.018135582,-0.079510382,0.067622285,0.014897537,-0.006767487
